 - Scanning i2c devices...
   - found at address :  32(Ox20)    checking Remote 16-bit I/O expander for I2C-bus                     chipId is the one expected
   - found at address :  60(Ox3C)    checking SSD1306 OLED 128x64 pixels                                 chipId is the one expected
   - found at address :  80(Ox50)    checking Two-wire Serial EEPROM (RCT Module)                        chipId is the one expected
   - found at address : 104(Ox68)    checking DS1307 RCT Module                                          chipId is ignored for this device
   - found at address : 105(Ox69)    checking MPU9250 3-axis Gyroscope and 3-axis Accelerometer sensor   chipId is the one expected
   - found at address : 119(Ox77)    checking BMP280 humidity, altitude, temperature and pressure sensor chipId is the one expected
   -> 6 i2c devices found
2021-11-16 05:51:32;8;8675;MyCopilot, version 2.0.x, compiled on Nov 16 2021, 16:40:04
2021-11-16 05:51:32;8;8733;Configuration readen from EEPROM (saved on 2021-11-15 04:27:30)
2021-11-16 05:51:32;8;8795;Elapsed time (0 ms) : 0 h, 0 m, 0 s
2021-11-16 05:51:32;8;8797;Serial Serial and Ble OK
2021-11-16 05:51:32;8;8798;Led on RGB device OK
2021-11-16 05:51:32;8;8853;Button on pin 19 OK
2021-11-16 05:51:32;8;8854;Button on pin 18 OK
2021-11-16 05:51:32;8;8913;Throttle OK - calibrated - current level : 0 % (0 between 65 (min), and 956 (max))
2021-11-16 05:51:32;8;8915;BMP280 OK - pressure : 1001.76 hPa - Altitude Aerodome / Sea level : 1.20 / 180.70 m - Temperature : 30.50 oC
2021-11-16 05:51:32;8;8973;CanBus OK (messages received : 0, sent : 0)
2021-11-16 05:51:32;9;9034;Engine OK - mode : Off (levelAsked : 0)
2021-11-16 05:51:32;9;9094;DataStore OK - session log writing ENABLED in file 2021-11-16-05-51-31.csv
2021-11-16 05:51:32;9;9101;MicroSd informations;
 - Card type : SDHC
 - Manufacturer ID : 0XAD
 - OEM ID : LS
 - Product : LX32G
 - Version : 1.0
 - Serial number : 0X73B8B766
 - Manufacturing date : 8/2014
 - Size : 31719426.00 KB
 - Free space : 31690130.00 KB
 - FAT type : FAT32
2021-11-16 05:51:32;9;9322;Total used : 3008 bytes
2021-11-16 05:51:32;9;9323;Current state : Setup
2021-11-16 05:51:32;9;9325;Controller is powered OFF
dateTime;seconds;milliSeconds;SdFreeSpaceMB;workingTimeMs;freeMemoryBytes;currentState;controllerPower;ButtonMode;ButtonPower;throttleLevelPerCent;altitudeALm;altitudeSLm;temperatureDC;verticalSpeedMps;canId;canLen;can0;can1;can2;can3;can4;can5;can6;can7;batteryV;batteryA;revolutionsRpm;controllerTempDC;motorTempDC;batteryTempDC;requestedOutputPwmPC;realOutputPwmPC;remainingBatteryCapacityPC;remainingBatteryCapacityFromCanPC;Warnings;Failures;MessagesReceived;MessagesSent;engineLevelOutP1024;engineMode;autotuneEnable;pidTargetAltitude;
2021-11-16 05:51:33;9;9799;1190250185;58;-2364;11;0;0;0;0;0.30;181.00;30.50;0.90;;;;;;;;;;;0.00;0.00;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0.00;
2021-11-16 05:51:33;9;9916;1190250185;111;-2364;11;0;0;0;0;0.30;181.00;30.51;0.90;;;;;;;;;;;0.00;0.00;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0.00;
2021-11-16 05:51:33;10;10041;1190250185;104;-2364;11;0;0;0;0;0.30;181.00;30.51;0.90;;;;;;;;;;;0.00;0.00;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0.00;
2021-11-16 05:51:33;10;10168;1190250185;105;-2364;11;0;0;0;0;0.40;181.10;30.51;0.80;;;;;;;;;;;0.00;0.00;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0.00;
2021-11-16 05:51:33;10;10292;1190250185;105;-2364;11;0;0;0;0;0.40;181.10;30.52;0.80;;;;;;;;;;;0.00;0.00;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0.00;
2021-11-16 05:51:33;10;10417;1190250185;105;-2364;11;0;0;0;0;0.40;181.10;30.52;0.80;;;;;;;;;;;0.00;0.00;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0.00;
2021-11-16 05:51:34;10;10542;1190250185;105;-2364;11;0;0;0;0;0.40;181.10;30.53;0.80;;;;;;;;;;;0.00;0.00;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0.00;
2021-11-16 05:51:34;10;10667;1190250185;106;-2364;11;0;0;0;0;0.40;181.10;30.53;0.80;;;;;;;;;;;0.00;0.00;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0.00;
2021-11-16 05:51:34;10;10792;1190250185;105;-2364;11;0;0;0;0;0.40;181.10;30.54;0.70;;;;;;;;;;;0.00;0.00;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0.00;
2021-11-16 05:51:34;10;10917;1190250185;105;-2364;11;0;0;0;0;0.40;181.10;30.54;0.70;;;;;;;;;;;0.00;0.00;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0.00;
2021-11-16 05:51:34;11;11041;1190250185;106;-2364;11;0;0;0;0;0.40;181.10;30.55;0.70;;;;;;;;;;;0.00;0.00;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0.00;
2021-11-16 05:51:34;11;11166;1190250185;104;-2364;11;0;0;0;0;0.40;181.10;30.55;0.70;;;;;;;;;;;0.00;0.00;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0.00;
2021-11-16 05:51:34;11;11292;1190250185;104;-2364;11;0;0;0;0;0.40;181.10;30.55;0.50;;;;;;;;;;;0.00;0.00;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0.00;
